IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"54.217.1.2","*.amazonappstream.com","","","","","*.amazonappstream.com|*.streaming.appstream.us-east-1.vpce.amazonaws.com|*.streaming.appstream.us-west-2.vpce.amazonaws.com|*.streaming.appstream.eu-west-1.vpce.amazonaws.com|*.streaming.appstream.ap-northeast-1.vpce.amazonaws.com|*.streaming.appstream.ap-southeast-1.vpce.amazonaws.com|*.streaming.appstream.ap-southeast-2.vpce.amazonaws.com|*.streaming.appstream.ap-northeast-2.vpce.amazonaws.com|*.streaming.appstream.eu-central-1.vpce.amazonaws.com|*.streaming.appstream.ap-south-1.vpce.amazonaws.com|*.streaming.appstream.us-east-2.vpce.amazonaws.com|*.streaming.appstream.us-west-1.vpce.amazonaws.com","","false"
"54.217.1.17","mallinckrodt.i-gvd.clarivate.com","","","","","mallinckrodt.i-gvd.clarivate.com","","false"
"54.217.1.23","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"54.217.1.21","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com|*.cell-01.eu-west-1.es.amazonaws.com","","false"
"54.217.1.39","*.eu.prod.titanos.tv","","","","","*.eu.prod.titanos.tv","","false"
"54.217.1.36","mono.st4g3.com","","","","","mono.st4g3.com|*.mono.st4g3.com|*.shaketopay.mono.st4g3.com|*.ftb.st4g3.com|shaketopay.mono.st4g3.com|ftb.st4g3.com|*.shaketopay.st4g3.com|shaketopay.st4g3.com","","false"
"54.217.1.25","*.flumotion.com","Flumotion Services SA","ES","Barcelona","Barcelona","*.flumotion.com|flumotion.com","","false"
"54.217.1.34","www-prd.polar.com","","","","","www-prd.polar.com|*.www-prd.polar.com","","false"
"54.217.1.56","*.gpos2cnocns2.gw.gpcloudservice.com","","","","","*.gpos2cnocns2.gw.gpcloudservice.com|gpos2cnocns2.gw.gpcloudservice.com","","false"
"54.217.1.73","*.uplink.securitas-eu.cloud-vms.com","","","","","*.uplink.securitas-eu.cloud-vms.com","","false"
"54.217.1.68","*.azeusconvene.com","","","","","*.azeusconvene.com|azeusconvene.com","","false"
"54.217.1.82","albuat.vinsearch.uk.devtest.aws.scania.com","","","","","albuat.vinsearch.uk.devtest.aws.scania.com","","false"
"54.217.1.98","*.adobe-campaign.com","Adobe Inc.","US","San Jose","California","*.adobe-campaign.com","","false"
"54.217.1.110","gamestest.io","","","","","gamestest.io|*.gamestest.io","","false"
"54.217.1.114","*.whatcardev.haymarket.com","","","","","*.whatcardev.haymarket.com|*.aphrodite-frontend.test.whatcardev.haymarket.com|*.prod.whatcardev.haymarket.com|*.test.whatcardev.haymarket.com|*.demo.whatcardev.haymarket.com|*.staging.whatcardev.haymarket.com|*.aphrodite-frontend.staging.whatcardev.haymarket.com|*.dev.whatcardev.haymarket.com|*.stage.whatcardev.haymarket.com|*.fb.whatcardev.haymarket.com","","false"
"54.217.1.125","*.dub.cbds.prime.amazon.dev","Amazon.com Inc.","US","Seattle","Washington","alpha.rde.cbds.prime.amazon.dev|*.dub.cbds.prime.amazon.dev|gamma.plato.lra.amazon|prod.plato.lra.amazon|*.helios.cbds.lra.amazon","","false"
"54.217.1.120","ghd8cbdnmbnngm62h8c89nkppqh4phb2.bbc.co.uk","British Broadcasting Corporation","GB","London","","scapula.cloud.bbc.co.uk|scapula.tools.bbc.co.uk|scapula.api.bbci.co.uk|scapula.api.bbc.co.uk|scapula.api.bbc.com|scapula.md.bbc.co.uk","","false"
"54.217.1.145","*.iibanks.com","","","","","*.iibanks.com|iibanks.com","","false"
"54.217.1.138","*.fujipix.dk","","","","","*.fujipix.dk","","false"
"54.217.1.146","vpn.kadensis.com","","","","","vpn.kadensis.com","","false"
"54.217.1.158","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com|*.cell-01.eu-west-1.es.amazonaws.com","","false"
"54.217.1.168","insync.service.infrakit.com","","","","","insync.service.infrakit.com","","false"
"54.217.1.187","eu-core05.issuebook.ihsmarkit.com","","","","","eu-core05.issuebook.ihsmarkit.com","","false"
"54.217.1.193","demo-24lts.esignanywhere.net","","","","","demo-24lts.esignanywhere.net","","false"
"54.217.1.219","*.dev.jibble.io","","","","","*.dev.jibble.io","","false"
"54.217.1.216","","Internet Widgits Pty Ltd","SE","","Some-State","","","true"
"54.217.1.226","*.campaign.adobe.com","Adobe Inc.","US","San Jose","California","*.campaign.adobe.com","","false"
"54.217.1.239","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"54.217.1.248","*.bergembedded.com","","","","","*.bergembedded.com","","false"
"54.217.2.8","*.growe.pro","","","","","*.growe.pro","","false"
"54.217.2.24","kube-apiserver","","","","","af1198a84b36723c0c9e623a0b3e3ea6.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-168-28.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.200.1.155|172.16.168.28","false"
"54.217.2.28","kube-apiserver","","","","","c47781ed11acb93fa19bbd4400c498ed.gr7.eu-west-1.eks.amazonaws.com|ip-10-0-61-215.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.123.214|10.0.61.215","false"
"54.217.2.35","cdn.perf.tenupsite.test.cloudaws.fft.fr","","","","","cdn.perf.tenupsite.test.cloudaws.fft.fr","","false"
"54.217.2.38","rposcloud.com","","","","","*.rposcloud.com|*.tabology.cloud|rposcloud.com|tabology.cloud","","false"
"54.217.2.42","staging.ajax.systems","","","","","staging.ajax.systems|*.staging.ajax.systems","","false"
"54.217.2.46","stage-api.soteranalytics.com","","","","","stage-api.soteranalytics.com","","false"
"54.217.2.71","*.deltekfirst.com","Deltek, Inc.","US","Herndon","Virginia","*.deltekfirst.com|deltekfirst.com|collaborate-alpha.deltekfirst.com|collaborate-sandbox.deltekfirst.com|collaborate-demo.deltekfirst.com|collaborate-test.deltekfirst.com|collaborate-stage.deltekfirst.com","","false"
"54.217.2.109","*.rockon.cloud","","","","","*.rockon.cloud","","false"
"54.217.2.119","*.centricsoftware.com","","","","","*.centricsoftware.com|corp.centricsoftware.com|cloud.centricsoftware.com|owa.centricsoftware.com|mail.centricsoftware.com|autodiscover.centricsoftware.com|www.centricsoftware.com|centricsoftware.com","","false"
"54.217.2.132","*.sportheroesgroup.com","","","","","*.sportheroesgroup.com|*.api.sportheroesgroup.com|*.runningheroes.com","","false"
"54.217.2.139","*.getcarbon.co","","","","","*.getcarbon.co|getcarbon.co","","false"
"54.217.2.149","*.readingwise.com","","","","","*.readingwise.com","","false"
"54.217.2.160","jag-web2lead-testing.jlr.connect.agency","","","","","jag-web2lead-testing.jlr.connect.agency|lr-web2lead-testing.jlr.connect.agency","","false"
"54.217.2.151","*.naga.com","","","","","*.naga.com","","false"
"54.217.2.159","ssl-pinning.investisdigital.cloud","","","","","ssl-pinning.investisdigital.cloud","","false"
"54.217.2.156","*.preprod.sc-mdm.sc.js-devops.co.uk","","","","","*.preprod.sc-mdm.sc.js-devops.co.uk","","false"
"54.217.2.171","*.portal.ptc.io","PTC","US","Boston","MA","*.portal.ptc.io","","true"
"54.217.2.179","*.dev.transhub.io","","","","","*.dev.transhub.io|dev.transhub.io","","false"
"54.217.2.175","*.dev.enfore.de","","","","","*.dev.enfore.de|*.ai.enfore.de|*.ci-stable.enfore.de|*.qa.enfore.de","","false"
"54.217.2.187","polaris-pre-prod.snyk-internal.net","","","","","polaris-pre-prod.snyk-internal.net|pre-prod-1.eu-west-1.polaris-pre-prod.snyk-internal.net|*.pre-prod-1.eu-west-1.polaris-pre-prod.snyk-internal.net","","false"
"54.217.2.182","brewers.co.uk","","","","","brewers.co.uk|*.brewers.co.uk","","false"
"54.217.2.193","*.mesdepanneurs.fr","","","","","*.mesdepanneurs.fr|mesdepanneurs.fr","","false"
"54.217.2.224","*.dde-prod.imgarena.dev","","","","","*.dde-prod.imgarena.dev","","false"
"54.217.2.232","koodisto.dev.koodisto.opintopolku.fi","","","","","koodisto.dev.koodisto.opintopolku.fi","","false"
"54.217.2.233","morinfridman.co.il","","","","","morinfridman.co.il|www.morinfridman.co.il","","false"
"54.217.3.7","*.campaign.adobe.com","Adobe Inc.","US","San Jose","California","*.campaign.adobe.com","","false"
"54.217.3.15","kube-apiserver","","","","","69a8c15158da9c881d487c2e842dc9e3.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-182-53.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.42.135.248|172.16.182.53","false"
"54.217.3.8","pp.api.prod1.blue.visa.rwrd061.rewardcloud.net","","","","","pp.api.prod1.blue.visa.rwrd061.rewardcloud.net|pp.api.visa.rewardcloud.net","","false"
"54.217.3.9","*.live.dynatrace.com","Dynatrace LLC","US","Waltham","Massachusetts","*.live.dynatrace.com|live.dynatrace.com","","false"
"54.217.3.26","pusher.katanamrp.com","","","","","pusher.katanamrp.com","","false"
"54.217.3.57","*.bookassist.com","Automatic Netware Ltd","IE","Dublin","","*.bookassist.com|bookassist.com","","false"
"54.217.3.61","spottinghistory.com","","","","","spottinghistory.com|www.spottinghistory.com","","false"
"54.217.3.60","prod.eu-west-1.blackbeard.aws.a2z.com","","","","","prod.eu-west-1.blackbeard.aws.a2z.com|*.prod.eu-west-1.blackbeard.aws.a2z.com","","false"
"54.217.3.83","*.prod.nwp.infomaker.io","","","","","*.prod.nwp.infomaker.io","","false"
"54.217.3.86","cc13.xelion.com","","","","","cc13.xelion.com","","false"
"54.217.3.72","*.almostinsided.com","","","","","*.almostinsided.com","","false"
"54.217.3.84","apigw.currency.dev.iagl.digital","","","","","apigw.currency.dev.iagl.digital","","false"
"54.217.3.98","*.api.dev.hcn.cti.digital","","","","","*.api.dev.hcn.cti.digital","","false"
"54.217.3.90","*.myriadgroup.mobi","","","","","*.myriadgroup.mobi|myriadgroup.mobi","","false"
"54.217.3.118","*.spainiwin.com","","","","","*.spainiwin.com|www.spainiwin.com|spainiwin.com","","false"
"54.217.3.115","*.insife.cloud","","","","","*.insife.cloud","","false"
"54.217.3.101","trino-test.dev.hydra.sophos.com","","","","","trino-test.dev.hydra.sophos.com","","false"
"54.217.3.114","cirrusplatform.com","","","","","cirrusplatform.com|*.cirrusplatform.com","","false"
"54.217.3.147","*.fundapps.co","","","","","*.fundapps.co","","false"
"54.217.3.134","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"54.217.3.131","*.tawqi3i.com","","","","","*.tawqi3i.com","","false"
"54.217.3.149","*.perf.cxast.net","","","","","*.perf.cxast.net","","false"
"54.217.3.143","*.semoa-pro.com","","","","","*.semoa-pro.com","","false"
"54.217.3.151","ges-dev.aws.pmicloud.biz","","","","","ges-dev.aws.pmicloud.biz|*.ges-dev.aws.pmicloud.biz","","false"
"54.217.3.174","kube-apiserver","","","","","3d7ddc5ab8c5bf8782c6135e929fe330.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-44-72.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.1.190.122|172.16.44.72","false"
"54.217.3.176","identityplatform-v2.facephi.io","","","","","identityplatform-v2.facephi.io|*.identityplatform-v2.facephi.io","","false"
"54.217.3.182","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com|*.cell-01.eu-west-1.es.amazonaws.com","","false"
"54.217.3.209","48hff2dbf8843jdjap.andbegin.com","","","","","48hff2dbf8843jdjap.andbegin.com","","false"
"54.217.3.200","alb-mut-p.web-enedis.fr","","","","","alb-mut-p.web-enedis.fr","","false"
"54.217.2.170","*.my-prtg.com","","","","","*.my-prtg.com","","false"
"54.217.3.223","landpage.co","","","","","*.landpage.co|landpage.co","","false"
"54.217.3.252","*.eu-west-1.es-staging.amazonaws.com","","","","","*.eu-west-1.es-staging.amazonaws.com","","false"
"54.217.4.13","stuart-apps.solutions","","","","","stuart-apps.solutions|*.stuart-apps.solutions","","false"
"54.217.4.24","CloudFlare Origin Certificate","CloudFlare, Inc.","","","","*.builder.eucod.io","","false"
"54.217.4.32","*.euplatform.connectwise.com","","","","","*.euplatform.connectwise.com","","false"
"54.217.4.39","grw-panel-front.dev.envs.lookiero.tech","","","","","grw-panel-front.dev.envs.lookiero.tech","","false"
"54.217.4.53","*.dev.cloud.suena.energy","","","","","*.dev.cloud.suena.energy","","false"
"54.217.4.40","mail.smarttech.ie","","","","","mail.smarttech.ie","","false"
"54.217.4.62","kube-apiserver","","","","","342c685a3626ffc10e68466b489568aa.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-122-134.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.25.220|172.16.122.134","false"
"54.217.4.48","*.gpcloudservice.com","","","","","*.gpcloudservice.com|gpcloudservice.com","","false"
"54.217.4.72","connect-preprod.signatura.dev","","","","","connect-preprod.signatura.dev|*.connect-preprod.signatura.dev","","false"
"54.217.4.109","platform.eu-west-1.dev.linkfire.co","","","","","platform.eu-west-1.dev.linkfire.co|*.platform.eu-west-1.dev.linkfire.co","","false"
"54.217.4.122","nbprisma.newellco.com","Newell Brands Inc.","US","","Georgia","nbprisma.newellco.com|www.nbprisma.newellco.com","","false"
"54.217.4.143","*.rmq3.cloudamqp.com","","","","","*.in.rmq3.cloudamqp.com|*.rmq3.cloudamqp.com","","false"
