IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"108.137.139.97","*.cedexis.ap-southeast-3.gamma.endpoints.ubiquity.aws.a2z.com","","","","","*.cedexis.ap-southeast-3.gamma.endpoints.ubiquity.aws.a2z.com|*.cedexis.ap-northeast-1.gamma.endpoints.ubiquity.aws.a2z.com|*.cedexis.gamma.endpoints.ubiquity.aws.a2z.com|*.ubiquity.cedexis.ap-southeast-3.gamma.endpoints.ubiquity.aws.a2z.com|*.direct.cedexis.ap-southeast-3.gamma.endpoints.ubiquity.aws.a2z.com","","false"
"108.137.139.95","*.bankmas.my.id","","","","","*.bankmas.my.id","","false"
"108.137.139.102","coincustodian.id","","","","","coincustodian.id|*.prod.coincustodian.id","","false"
"108.137.139.113","CloudFlare Origin Certificate","CloudFlare, Inc.","","","","*.taktismajusejahtera.id|taktismajusejahtera.id","","false"
"108.137.139.119","*.maja.id","","","","","*.maja.id|*.edupay.id|*.edupay.co.id|*.uipay.id|*.makaramas.com|*.uipod.id|*.lontara.app|*.btnsmobilepayment.com|lontara.app","","false"
"108.137.139.137","*.vnetcloud.com","","","","","*.vnetcloud.com|vnetcloud.com","","false"
"108.137.139.160","*.nettest.testrtc.com","","","","","*.nettest.testrtc.com","","false"
"108.137.139.167","*.ap-southeast-3.prod.ccs.eks.aws.dev","","","","","*.ap-southeast-3.prod.ccs.eks.aws.dev","","false"
"108.137.139.174","*.ap-southeast-3.es.amazonaws.com","","","","","*.ap-southeast-3.es.amazonaws.com","","false"
"108.137.139.183","www.elbnefario.com","","","","","www.elbnefario.com","","true"
"108.137.139.187","www.blancpain.com","Blancpain SA","CH","Le Brassus","Vaud","www.blancpain.com|account.blancpain.com|assets.blancpain.com|extranet.blancpain.ch|film.blancpain.com|lettresdubrassus.blancpain.com|maps-cs.blancpain.com|maps-mkt.blancpain.com|ris.blancpain.com|store.blancpain.com|vdp.blancpain.com|www.blancpain-ocean-commitment.com|www.blancpain.cn","","false"
"108.137.139.191","prod.ap-southeast-3.dls.rds.a2z.com","Amazon.com Inc.","US","Seattle","Washington","prod.ap-southeast-3.dls.rds.a2z.com","","false"
"108.137.139.193","kube-apiserver","","","","","6790b1875ad483a219aa59e4ad0d0e4b.gr7.ap-southeast-3.eks.amazonaws.com|ip-172-16-96-103.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.69.38|172.16.96.103","false"
"108.137.139.201","main.bdb.ap-southeast-3.beta.basin.security.aws.dev","","","","","main.bdb.ap-southeast-3.beta.basin.security.aws.dev","","false"
"108.137.139.203","kube-apiserver","","","","","f8fb21544ab9a4166689e24106c3050b.yl4.ap-southeast-3.eks.amazonaws.com|ip-172-16-57-87.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.160.205|172.16.57.87","false"
"108.137.139.206","promisedland.id","","","","","promisedland.id|*.promisedland.id","","false"
"108.137.139.207","gamma.ap-southeast-3.treasure-island.control-tower.aws.dev","Amazon.com Inc.","US","Seattle","Washington","gamma.ap-southeast-3.treasure-island.control-tower.aws.dev","","false"
"108.137.139.213","kube-apiserver","","","","","8969216e8a73fd7535f8fc6e958e9b87.gr7.ap-southeast-3.eks.amazonaws.com|ip-10-0-117-12.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|10.0.117.12","false"
"108.137.139.219","adbinsure.io","","","","","adbinsure.io|*.adbinsure.io","","false"
"108.137.139.220","*.bnifinance.co.id","","","","","*.bnifinance.co.id","","false"
"108.137.139.232","*.osfin.ai","","","","","*.osfin.ai|osfin.ai","","false"
"108.137.139.237","ap-southeast-3.prod.isac.access.idaho.aws.a2z.com","","","","","ap-southeast-3.prod.isac.access.idaho.aws.a2z.com","","false"
"108.137.139.241","partsafari.app","","","","","partsafari.app|*.partsafari.app","","false"
"108.137.140.1","*.jiarsi.com","","","","","*.jiarsi.com|jiarsi.com","","false"
"108.137.140.2","lldps-nbi.preprod.ap-southeast-3.ml-platform.aws.a2z.com","","","","","lldps-nbi.preprod.ap-southeast-3.ml-platform.aws.a2z.com","","false"
"108.137.140.6","*.ap-southeast-3.es.amazonaws.com","","","","","*.ap-southeast-3.es.amazonaws.com","","false"
"108.137.140.26","kriptosh.com","","","","","kriptosh.com|*.kriptosh.com","","false"
"108.137.140.41","ap-southeast-3.identity-authority.aws.dev","","","","","*.ap-southeast-3.identity-authority.aws.dev|*.cells.ap-southeast-3.identity-authority.aws.dev|*.certs.ap-southeast-3.identity-authority.aws.dev|*.reports.ap-southeast-3.identity-authority.aws.dev|*.routes.ap-southeast-3.identity-authority.aws.dev|*.fleets.ap-southeast-3.identity-authority.aws.dev|ap-southeast-3.identity-authority.aws.dev","","false"
"108.137.140.47","roleproxy.prod.ap-southeast-3.ml-platform.aws.a2z.com","","","","","roleproxy.prod.ap-southeast-3.ml-platform.aws.a2z.com","","false"
"108.137.140.48","*.e1.ap-southeast-3.aws.app.snowflake.com","Snowflake Inc.","US","Bozeman","Montana","*.e1.ap-southeast-3.aws.app.snowflake.com|e1.ap-southeast-3.aws.app.snowflake.com","","false"
"108.137.140.61","ap-southeast-3.console.aws.amazon.com","","","","","ap-southeast-3.console.aws.amazon.com|ap-southeast-3.lightsail.aws.amazon.com","","false"
"108.137.140.63","mt5.test.hsb.co.id","PT. Lintas Mahesa Raya","","","","","","true"
"108.137.140.68","kube-apiserver","","","","","5f167c838fc39521b28a5072408ca969.gr7.ap-southeast-3.eks.amazonaws.com|ip-10-0-127-242.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.26.8.111|10.0.127.242","false"
"108.137.140.66","kube-apiserver","","","","","fd46af987cd0f4977e79e3ee5a0dba9a.yl4.ap-southeast-3.eks.amazonaws.com|ip-172-16-51-157.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.16.156.54|172.16.51.157","false"
"108.137.140.79","*.cashfazz.com","","","","","*.cashfazz.com|*.prod1.cashfazz.com","","false"
"108.137.140.51","*.soluix.ai","","","","","*.soluix.ai|soluix.ai","","false"
"108.137.140.84","*.silog.co.id","","","","","*.silog.co.id|silog.co.id","","false"
"108.137.140.104","*.kpk.go.id","KOMISI PEMBERANTASAN KORUPSI","ID","Jakarta Selatan","Daerah Khusus Ibukota Jakarta","*.kpk.go.id|kpk.go.id","","false"
"108.137.140.110","BGSi","BB Binomika","ID","Jakarta","Jakarta","","","true"
"108.137.140.113","kube-apiserver","","","","","4df0e9af8e4ed31a9d75a13ac3c7ed78.sk1.ap-southeast-3.eks.amazonaws.com|ip-172-16-59-93.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.114.11.150|172.16.59.93","false"
"108.137.140.118","*.staging.getwell.co.id","","","","","*.staging.getwell.co.id","","false"
"108.137.140.122","cms.starbucks.co.id","Starbucks Coffee Company","US","","Washington","cms.starbucks.co.id","","false"
"108.137.140.129","*.monitoringsystem.ray.co.id","","","","","*.monitoringsystem.ray.co.id","","false"
"108.137.140.148","*.awsbuilder.xyz","","","","","*.awsbuilder.xyz|awsbuilder.xyz","","false"
"108.137.140.150","*.fasspay.com","","","","","*.fasspay.com|fasspay.com","","false"
"108.137.140.170","*.ap-southeast-3.es.amazonaws.com","","","","","*.ap-southeast-3.es.amazonaws.com","","false"
"108.137.140.184","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"108.137.140.193","cell01.ap-southeast-3.communication.toledo.dbs.aws.dev","","","","","cell01.ap-southeast-3.communication.toledo.dbs.aws.dev","","false"
"108.137.140.196","kube-apiserver","","","","","bdd3e3f0a2eabfe440fc7adac07666e9.sk1.ap-southeast-3.eks.amazonaws.com|ip-10-0-32-57.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.123.46|10.0.32.57","false"
"108.137.140.201","kube-apiserver","","","","","dcd7f8dc45bea6051d7dc12b9d6244d8.gr7.ap-southeast-3.eks.amazonaws.com|ip-172-16-165-125.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.73.5.178|172.16.165.125","false"
"108.137.140.207","*.ap-southeast-3.es.amazonaws.com","","","","","*.ap-southeast-3.es.amazonaws.com","","false"
"108.137.140.223","*.ap-southeast-3.es.amazonaws.com","","","","","*.ap-southeast-3.es.amazonaws.com","","false"
