IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"3.167.237.93","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.157","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.154","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.84","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.91","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.87","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.156","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.215","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.221","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.200","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.100","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.155","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.97","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.159","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.94","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.184","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.90","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.229","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.95","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.188","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.187","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.227","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.183","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.228","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.190","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.189","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.158","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.182","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.225","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.186","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.220","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.192","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.237.195","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
