IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"3.5.33.125","*.s3.eu-south-2.amazonaws.com","","","","","*.s3.eu-south-2.amazonaws.com|s3.eu-south-2.amazonaws.com|*.s3-eu-south-2.amazonaws.com|s3-eu-south-2.amazonaws.com|*.s3.dualstack.eu-south-2.amazonaws.com|s3.dualstack.eu-south-2.amazonaws.com|*.s3-control.eu-south-2.amazonaws.com|s3-control.eu-south-2.amazonaws.com|*.s3-control.dualstack.eu-south-2.amazonaws.com|s3-control.dualstack.eu-south-2.amazonaws.com|*.s3-accesspoint.eu-south-2.amazonaws.com|*.s3-accesspoint.dualstack.eu-south-2.amazonaws.com|*.s3-deprecated.eu-south-2.amazonaws.com|s3-deprecated.eu-south-2.amazonaws.com","","false"
"3.5.32.189","*.s3.eu-south-2.amazonaws.com","","","","","*.s3.eu-south-2.amazonaws.com|s3.eu-south-2.amazonaws.com|*.s3-eu-south-2.amazonaws.com|s3-eu-south-2.amazonaws.com|*.s3.dualstack.eu-south-2.amazonaws.com|s3.dualstack.eu-south-2.amazonaws.com|*.s3-control.eu-south-2.amazonaws.com|s3-control.eu-south-2.amazonaws.com|*.s3-control.dualstack.eu-south-2.amazonaws.com|s3-control.dualstack.eu-south-2.amazonaws.com|*.s3-accesspoint.eu-south-2.amazonaws.com|*.s3-accesspoint.dualstack.eu-south-2.amazonaws.com|*.s3-deprecated.eu-south-2.amazonaws.com|s3-deprecated.eu-south-2.amazonaws.com","","false"
"3.5.32.42","*.s3.eu-south-2.amazonaws.com","","","","","*.s3.eu-south-2.amazonaws.com|s3.eu-south-2.amazonaws.com|*.s3-eu-south-2.amazonaws.com|s3-eu-south-2.amazonaws.com|*.s3.dualstack.eu-south-2.amazonaws.com|s3.dualstack.eu-south-2.amazonaws.com|*.s3-control.eu-south-2.amazonaws.com|s3-control.eu-south-2.amazonaws.com|*.s3-control.dualstack.eu-south-2.amazonaws.com|s3-control.dualstack.eu-south-2.amazonaws.com|*.s3-accesspoint.eu-south-2.amazonaws.com|*.s3-accesspoint.dualstack.eu-south-2.amazonaws.com|*.s3-deprecated.eu-south-2.amazonaws.com|s3-deprecated.eu-south-2.amazonaws.com","","false"
"3.5.34.1","*.s3.eu-south-2.amazonaws.com","","","","","*.s3.eu-south-2.amazonaws.com|s3.eu-south-2.amazonaws.com|*.s3-eu-south-2.amazonaws.com|s3-eu-south-2.amazonaws.com|*.s3.dualstack.eu-south-2.amazonaws.com|s3.dualstack.eu-south-2.amazonaws.com|*.s3-control.eu-south-2.amazonaws.com|s3-control.eu-south-2.amazonaws.com|*.s3-control.dualstack.eu-south-2.amazonaws.com|s3-control.dualstack.eu-south-2.amazonaws.com|*.s3-accesspoint.eu-south-2.amazonaws.com|*.s3-accesspoint.dualstack.eu-south-2.amazonaws.com|*.s3-deprecated.eu-south-2.amazonaws.com|s3-deprecated.eu-south-2.amazonaws.com","","false"
"3.5.33.159","*.s3.eu-south-2.amazonaws.com","","","","","*.s3.eu-south-2.amazonaws.com|s3.eu-south-2.amazonaws.com|*.s3-eu-south-2.amazonaws.com|s3-eu-south-2.amazonaws.com|*.s3.dualstack.eu-south-2.amazonaws.com|s3.dualstack.eu-south-2.amazonaws.com|*.s3-control.eu-south-2.amazonaws.com|s3-control.eu-south-2.amazonaws.com|*.s3-control.dualstack.eu-south-2.amazonaws.com|s3-control.dualstack.eu-south-2.amazonaws.com|*.s3-accesspoint.eu-south-2.amazonaws.com|*.s3-accesspoint.dualstack.eu-south-2.amazonaws.com|*.s3-deprecated.eu-south-2.amazonaws.com|s3-deprecated.eu-south-2.amazonaws.com","","false"
"3.5.33.60","*.s3.eu-south-2.amazonaws.com","","","","","*.s3.eu-south-2.amazonaws.com|s3.eu-south-2.amazonaws.com|*.s3-eu-south-2.amazonaws.com|s3-eu-south-2.amazonaws.com|*.s3.dualstack.eu-south-2.amazonaws.com|s3.dualstack.eu-south-2.amazonaws.com|*.s3-control.eu-south-2.amazonaws.com|s3-control.eu-south-2.amazonaws.com|*.s3-control.dualstack.eu-south-2.amazonaws.com|s3-control.dualstack.eu-south-2.amazonaws.com|*.s3-accesspoint.eu-south-2.amazonaws.com|*.s3-accesspoint.dualstack.eu-south-2.amazonaws.com|*.s3-deprecated.eu-south-2.amazonaws.com|s3-deprecated.eu-south-2.amazonaws.com","","false"
"3.5.32.25","*.s3.eu-south-2.amazonaws.com","","","","","*.s3.eu-south-2.amazonaws.com|s3.eu-south-2.amazonaws.com|*.s3-eu-south-2.amazonaws.com|s3-eu-south-2.amazonaws.com|*.s3.dualstack.eu-south-2.amazonaws.com|s3.dualstack.eu-south-2.amazonaws.com|*.s3-control.eu-south-2.amazonaws.com|s3-control.eu-south-2.amazonaws.com|*.s3-control.dualstack.eu-south-2.amazonaws.com|s3-control.dualstack.eu-south-2.amazonaws.com|*.s3-accesspoint.eu-south-2.amazonaws.com|*.s3-accesspoint.dualstack.eu-south-2.amazonaws.com|*.s3-deprecated.eu-south-2.amazonaws.com|s3-deprecated.eu-south-2.amazonaws.com","","false"
"3.5.33.38","*.s3.eu-south-2.amazonaws.com","","","","","*.s3.eu-south-2.amazonaws.com|s3.eu-south-2.amazonaws.com|*.s3-eu-south-2.amazonaws.com|s3-eu-south-2.amazonaws.com|*.s3.dualstack.eu-south-2.amazonaws.com|s3.dualstack.eu-south-2.amazonaws.com|*.s3-control.eu-south-2.amazonaws.com|s3-control.eu-south-2.amazonaws.com|*.s3-control.dualstack.eu-south-2.amazonaws.com|s3-control.dualstack.eu-south-2.amazonaws.com|*.s3-accesspoint.eu-south-2.amazonaws.com|*.s3-accesspoint.dualstack.eu-south-2.amazonaws.com|*.s3-deprecated.eu-south-2.amazonaws.com|s3-deprecated.eu-south-2.amazonaws.com","","false"
"3.5.34.119","*.s3.eu-south-2.amazonaws.com","","","","","*.s3.eu-south-2.amazonaws.com|s3.eu-south-2.amazonaws.com|*.s3-eu-south-2.amazonaws.com|s3-eu-south-2.amazonaws.com|*.s3.dualstack.eu-south-2.amazonaws.com|s3.dualstack.eu-south-2.amazonaws.com|*.s3-control.eu-south-2.amazonaws.com|s3-control.eu-south-2.amazonaws.com|*.s3-control.dualstack.eu-south-2.amazonaws.com|s3-control.dualstack.eu-south-2.amazonaws.com|*.s3-accesspoint.eu-south-2.amazonaws.com|*.s3-accesspoint.dualstack.eu-south-2.amazonaws.com|*.s3-deprecated.eu-south-2.amazonaws.com|s3-deprecated.eu-south-2.amazonaws.com","","false"
"3.5.32.43","*.s3.eu-south-2.amazonaws.com","","","","","*.s3.eu-south-2.amazonaws.com|s3.eu-south-2.amazonaws.com|*.s3-eu-south-2.amazonaws.com|s3-eu-south-2.amazonaws.com|*.s3.dualstack.eu-south-2.amazonaws.com|s3.dualstack.eu-south-2.amazonaws.com|*.s3-control.eu-south-2.amazonaws.com|s3-control.eu-south-2.amazonaws.com|*.s3-control.dualstack.eu-south-2.amazonaws.com|s3-control.dualstack.eu-south-2.amazonaws.com|*.s3-accesspoint.eu-south-2.amazonaws.com|*.s3-accesspoint.dualstack.eu-south-2.amazonaws.com|*.s3-deprecated.eu-south-2.amazonaws.com|s3-deprecated.eu-south-2.amazonaws.com","","false"
