IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"52.202.201.120","*.product-aws-prod.nl.lexis.com","RELX INC.","US","New York","New York","*.product-aws-prod.nl.lexis.com|*.lexis.com|*.lexisnexis.com|*.nl.lexis.com|product-aws-prod.nl.lexis.com","","false"
"52.202.201.123","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"52.202.201.127","*.resilix.ai","","","","","*.resilix.ai|resilix.ai","","false"
"52.202.201.129","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"52.202.201.139","origin.ent-media-qa.lower.platform.brightspot.cloud","","","","","origin.ent-media-qa.lower.platform.brightspot.cloud|*.ent-media-qa.lower.platform.brightspot.cloud|*.origin.ent-media-qa.lower.platform.brightspot.cloud|static.ent-media-qa.lower.platform.brightspot.cloud|verify.origin.ent-media-qa.lower.platform.brightspot.cloud|cms.ent-media-qa.lower.platform.brightspot.cloud|verify.cms.ent-media-qa.lower.platform.brightspot.cloud|ent-media-qa.lower.platform.brightspot.cloud|*.cms.ent-media-qa.lower.platform.brightspot.cloud","","false"
"52.202.201.145","*.artistshot.com","","","","","*.artistshot.com|artistshot.com","","false"
"52.202.201.148","qa-ownership-updater-extra.qa-hackermango.grammarlyaws.com","","","","","qa-ownership-updater-extra.qa-hackermango.grammarlyaws.com","","false"
"52.202.201.151","*.staging.uhuu.com","","","","","*.staging.uhuu.com","","false"
"52.202.201.152","dashpublya.com","","","","","dashpublya.com","","false"
"52.202.201.157","*.7now.io","","","","","*.7now.io","","false"
"52.202.201.165","qa.crossix.land","","","","","qa.crossix.land|*.qa.crossix.land","","false"
"52.202.201.171","api.learning.demo.cebroker.com","","","","","api.learning.demo.cebroker.com","","false"
"52.202.201.173","*.pungle.io","","","","","*.pungle.io","","false"
"52.202.201.175","zdm.dataanalytics.zsht.qa.zaidyn.zsservices.com","","","","","zdm.dataanalytics.zsht.qa.zaidyn.zsservices.com","","false"
"52.202.201.179","*.imedidata.net","Medidata Solutions, Inc","US","","New York","*.imedidata.net|imedidata.net","","false"
"52.202.201.178","*.smartthingsgdev.com","","","","","*.smartthingsgdev.com","","false"
"52.202.201.180","lakeviewloanservicing.com","","","","","lakeviewloanservicing.com|www.lakeviewloanservicing.com","","false"
"52.202.201.186","*.entityinsight.lexisnexis.com","RELX INC.","US","New York","New York","*.entityinsight.lexisnexis.com|entityinsight.lexisnexis.com","","false"
"52.202.201.192","*.nightflightplus.com","","","","","*.nightflightplus.com","","false"
"52.202.201.198","sni-support-required-for-valid-ssl","","","","","","","true"
"52.202.201.201","bt-hotel-profile-ui-alb.us-east-1.core-bt-prod.cvent.cloud","","","","","bt-hotel-profile-ui-alb.us-east-1.core-bt-prod.cvent.cloud","","false"
"52.202.201.204","*.plvr.io","","","","","*.plvr.io","","false"
"52.202.201.203","kube-apiserver","","","","","6f434c8b5c199925c8186018ce346d74.gr7.us-east-1.eks.amazonaws.com|ip-10-0-46-241.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.25.40.71|10.0.46.241","false"
"52.202.201.213","datalab121-datactrl","","","","","","","true"
"52.202.201.229","*.michaelkors.splunkcloud.com","Splunk Inc.","US","San Francisco","California","*.michaelkors.splunkcloud.com|michaelkors.splunkcloud.com|http-inputs-michaelkors.splunkcloud.com|*.http-inputs-michaelkors.splunkcloud.com|akamai-inputs-michaelkors.splunkcloud.com|*.akamai-inputs-michaelkors.splunkcloud.com|http-inputs-ack-michaelkors.splunkcloud.com|*.http-inputs-ack-michaelkors.splunkcloud.com|http-inputs-firehose-michaelkors.splunkcloud.com|*.http-inputs-firehose-michaelkors.splunkcloud.com|*.pvt.michaelkors.splunkcloud.com|pvt.michaelkors.splunkcloud.com","","false"
"52.202.201.231","*.sunfirematrix.com","","","","","*.sunfirematrix.com","","false"
"52.202.201.234","kube-apiserver","","","","","fc14198c59027fe8333bf1cd45a74f26.gr7.us-east-1.eks.amazonaws.com|ip-10-0-38-185.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.30.133.182|10.0.38.185","false"
"52.202.201.243","loginfaster.net","","","","","loginfaster.net|hloginfaster.com|*.loginfaster.net|*.hloginfaster.com","","false"
"52.202.201.246","sapibeta.prismcompliance.com","","","","","sapibeta.prismcompliance.com","","false"
"52.202.201.249","*.50365.elluciancloud.com","","","","","*.50365.elluciancloud.com","","false"
"52.202.201.250","*.stg.splunkcloud.com","Splunk Inc.","US","San Francisco","California","*.stg.splunkcloud.com|stg.splunkcloud.com","","false"
"52.202.201.254","*.worknet.ascent.com","Ascent Technology, Inc","US","","Massachusetts","*.worknet.ascent.com|worknet.ascent.com","","false"
"52.202.202.3","*.corebtpay.com","","","","","*.corebtpay.com","","false"
"52.202.202.6","*.tdscloud.ie","","","","","*.tdscloud.ie","","false"
"52.202.202.16","*.dev.liftyolife.com","","","","","*.dev.liftyolife.com","","false"
"52.202.202.23","*.prometheusgroup.app","","","","","*.prometheusgroup.app|auth.mlbom-356w.prometheusgroup.app","","false"
"52.202.202.24","*.merchandising.cloud","","","","","*.merchandising.cloud","","false"
"52.202.202.25","dev.reports.juspro.link","","","","","dev.reports.juspro.link","","false"
"52.202.202.26","api.connections.us.wlloyalty.net","","","","","api.connections.us.wlloyalty.net|engine.connections.us.wlloyalty.net|connections.us.wlloyalty.net|coderunner.connections.us.wlloyalty.net","","false"
"52.202.202.35","cnbremote.cnbankpa.com","Citizens & Northern Bank","US","Wellsboro","Pennsylvania","cnbremote.cnbankpa.com","","false"
"52.202.202.37","*.coolremote.net","","","","","*.coolremote.net","","false"
"52.202.202.39","www.greenwiki.org","","","","","www.greenwiki.org","","false"
"52.202.202.48","*.c43.us-east-1.airflow.amazonaws.com","","","","","*.c43.us-east-1.airflow.amazonaws.com","","false"
"52.202.202.67","log.absolutelyconnected.com","","","","","log.absolutelyconnected.com","","false"
"52.202.202.70","*.webmd.splunkcloud.com","Splunk Inc.","US","San Francisco","California","*.webmd.splunkcloud.com|webmd.splunkcloud.com|es-webmd.splunkcloud.com|*.es-webmd.splunkcloud.com|http-inputs-webmd.splunkcloud.com|*.http-inputs-webmd.splunkcloud.com|akamai-inputs-webmd.splunkcloud.com|*.akamai-inputs-webmd.splunkcloud.com|http-inputs-ack-webmd.splunkcloud.com|*.http-inputs-ack-webmd.splunkcloud.com|http-inputs-firehose-webmd.splunkcloud.com|*.http-inputs-firehose-webmd.splunkcloud.com|*.pvt.webmd.splunkcloud.com|pvt.webmd.splunkcloud.com","","false"
"52.202.202.75","*.bamgrid.com","","","","","*.bamgrid.com","","false"
"52.202.202.78","*.execute-api.us-east-1.amazonaws.com","","","","","*.execute-api.us-east-1.amazonaws.com","","false"
"52.202.202.82","*.prod-us.posthog.dev","","","","","*.prod-us.posthog.dev","","false"
"52.202.202.87","*.mobix-ami.com","","","","","*.mobix-ami.com|mobix-ami.com","","false"
"52.202.202.94","agent.lupai.app","","","","","agent.lupai.app","","false"
"52.202.202.95","lambda-fips.prod-cell-1.us-east-1.lambda.aws.a2z.com","","","","","lambda-fips.prod-cell-1.us-east-1.lambda.aws.a2z.com","","false"
"52.202.202.97","*.inovalon.com","Inovalon, Inc.","US","Bowie","Maryland","*.inovalon.com|inovalon.com","","false"
"52.202.202.99","kube-apiserver","","","","","4181f1512abcbc20ad18d2ebf6b9eb11.gr7.us-east-1.eks.amazonaws.com|ip-172-16-47-216.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.240.85.223|172.16.47.216","false"
"52.202.202.106","asan.plural.plus","","","","","asan.plural.plus","","false"
"52.202.202.107","tools","Blend","","","","*.blend.svc|*.blend.svc.cluster|*.blend.svc.cluster.local","","false"
"52.202.202.111","*.staging.k12.com","","","","","*.staging.k12.com","","false"
"52.202.202.114","*.torabit.com.br","","","","","*.torabit.com.br|torabit.com.br","","false"
"52.202.202.122","giadoc.net.br","","","","","giadoc.net.br","","false"
"52.202.202.123","*.vdi.hertz.io","","","","","*.vdi.hertz.io|vdi.hertz.io","","false"
"52.202.202.130","*.global.imitig8risk.com","","","","","*.global.imitig8risk.com","","false"
"52.202.202.132","safety3.oit.ncsu.edu","North Carolina State University","US","","North Carolina","safety3.oit.ncsu.edu","","false"
"52.202.202.135","*.mono2.ukovac.celtra-test.com","","","","","*.mono2.ukovac.celtra-test.com","","false"
"52.202.202.140","*.asahi-us.generixhub.com","","","","","*.asahi-us.generixhub.com","","false"
"52.202.202.142","bikerentalcentralpark.com","","","","","bikerentalcentralpark.com|*.bikerentalcentralpark.com","","false"
"52.202.202.149","*.cs.vizio.com","Vizio, Inc","US","Irvine","California","*.cs.vizio.com|cs.vizio.com","","false"
"52.202.202.152","upload.dreamseedo.org","","","","","upload.dreamseedo.org|social.dreamseedo.org","","false"
"52.202.202.168","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-01.us-east-1.es.amazonaws.com","","false"
"52.202.202.177","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-01.us-east-1.es.amazonaws.com","","false"
"52.202.202.188","mcstaging.usshop.lg.com","Magento Cloud","FR","","","","","true"
"52.202.202.195","schoox.com","","","","","schoox.com|*.schoox.com","","false"
"52.202.202.200","*.hirenami.com","","","","","*.hirenami.com|hirenami.com","","false"
"52.202.202.212","entity.unriddle.ai","","","","","entity.unriddle.ai","","false"
"52.202.202.222","pci-prod-san-v2.hulu.com","","","","","pci-prod-san-v2.hulu.com|secure.hulu.com|smoke-secure.hulu.com|tide.hulu.com|gateway.pay.hulu.com|gateway.ava.pay.hulu.com","","false"
"52.202.202.229","api-sandbox-embedded-lending.payrix.com","","","","","api-sandbox-embedded-lending.payrix.com|sandbox-embedded-lending.payrix.com","","false"
"52.202.202.233","*.ipm.cqa.inforcloudsuite.com","","","","","*.ipm.cqa.inforcloudsuite.com","","false"
"52.202.202.237","*.us-east-1.awsapprunner.com","","","","","*.us-east-1.awsapprunner.com","","false"
"52.202.202.238","*.customs-us.blujaysolutions.net","","","","","*.customs-us.blujaysolutions.net|customs-us.blujaysolutions.net","","false"
"52.202.202.240","portaldr.starleasing.cloud","","","","","portaldr.starleasing.cloud","","false"
"52.202.202.245","audiomack.com","","","","","audiomack.com|*.prod.us-east-1.aws.audiomack.com|*.dev.audiomack.com|*.audiomack.com|*.dev.us-east-1.aws.audiomack.com|*.stage.us-east-1.aws.audiomack.com|*.aws.audiomack.com|*.test.us-east-1.aws.audiomack.com","","false"
"52.202.202.250","*.imedidata.net","Medidata Solutions, Inc","US","","New York","*.imedidata.net|imedidata.net","","false"
"52.202.202.251","author.genielift.com","","","","","author.genielift.com|author.terex.com","","false"
"52.202.203.2","oa-agreements.alpha.aps.org","","","","","oa-agreements.alpha.aps.org","","false"
"52.202.203.20","*.imedidata.com","Medidata Solutions, Inc","US","","New York","*.imedidata.com|imedidata.com","","false"
"52.202.203.23","scim.successacademies.org","","","","","scim.successacademies.org","","false"
"52.202.203.28","knockthedoor.com","","","","","knockthedoor.com|*.knockthedoor.com","","false"
"52.202.203.32","*.edtechindex.org","","","","","*.edtechindex.org|edtechindex.org","","false"
"52.202.203.35","*.staging.onvopay.com","","","","","*.staging.onvopay.com","","false"
"52.202.203.55","vevoprd.com","","","","","vevoprd.com|vevo.com|*.vevo.com|*.vevoprd.com","","false"
"52.202.203.68","*.dermage.com.br","","","","","*.dermage.com.br","","false"
"52.202.203.72","*.uniqus.com","","","","","*.uniqus.com","","false"
"52.202.203.77","gw-api.demo.alara.dev","","","","","gw-api.demo.alara.dev","","false"
"52.202.203.84","eventgw.dev.twilio.com","","","","","eventgw.dev.twilio.com","","false"
"52.202.203.102","*.contentmanager.tylerapp.com","","","","","*.contentmanager.tylerapp.com","","false"
"52.202.203.107","staging.protector.cropwise.com","","","","","staging.protector.cropwise.com|staging.resumo.protector.cropwise.com|kafdrop.staging.poseidon.strider.ag|redis-commander.staging.poseidon.strider.ag|sync.mobile.staging.beta.protector.strider.ag|prometheus.staging.poseidon.strider.ag|es.poseidon.strider.ag|staging.beta.admin.strider.ag|staging.beta.grafana.strider.ag|api.staging.beta.demeter.strider.ag|dev.beta.protector.strider.ag|staging.beta.protector.strider.ag|api.dev.beta.demeter.strider.ag|api.staging2.base.cropwise.com|dev.beta.base.strider.ag|dev.beta.admin.strider.ag|sync.mobile.dev.beta.protector.strider.ag|staging.beta.raizen.strider.ag|staging.admin.protector.cropwise.com|dev.protector.syngentadigital.co.uk|kafdrop.dev.poseidon.strider.ag|api.temp.staging.cropwise.com|staging.protector.syngentadigital.co.uk|dev.admin.protector.cropwise.com|staging.beta.base.strider.ag","","false"
"52.202.203.114","*.us-east-1.osis.amazonaws.com","","","","","*.us-east-1.osis.amazonaws.com|*.osis.us-east-1.vpce.amazonaws.com","","false"
"52.202.203.117","*.innovatecenter.in","","","","","*.innovatecenter.in","","false"
"52.202.203.128","app.getdolr.com","","","","","app.getdolr.com|www.app.getdolr.com","","false"
"52.202.203.131","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"52.202.203.132","web.tpsolutions.it.com","","","","","web.tpsolutions.it.com","","false"
"52.202.203.133","*.easygetinsta.com","","","","","*.easygetinsta.com","","false"
"52.202.203.140","kube-apiserver","","","","","c6edb2f2a3ca08a76d2cbd84a2184038.gr7.us-east-1.eks.amazonaws.com|ip-172-16-160-143.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.10.124.64|172.16.160.143","false"
"52.202.203.143","*.36eh1e.usa-e1.cloudhub.io","","","","","*.36eh1e.usa-e1.cloudhub.io|*.internal-36eh1e.usa-e1.cloudhub.io","","false"
"52.202.203.156","bugzilla.geckosoftware.com","","","","","bugzilla.geckosoftware.com","","false"
"52.202.203.157","pincen.io","","","","","pincen.io|www.pincen.io","","false"
"52.202.203.164","web4.spiread.com","","","","","web4.spiread.com","","false"
"52.202.203.168","kube-apiserver","","","","","f196355375719fbc3ce0991594ae1b60.gr7.us-east-1.eks.amazonaws.com|ip-10-0-59-174.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|100.70.77.70|10.0.59.174","false"
"52.202.203.173","jmadrigal.com","","","","","jmadrigal.com|*.jmadrigal.com","","false"
"52.202.203.181","fcscowcfl.aws.executime.com","","","","","fcscowcfl.aws.executime.com","","false"
"52.202.203.189","crypto1.tokenizecloud.com","","","","","crypto1.tokenizecloud.com","","false"
"52.202.203.192","*.quikfuzion.com","","","","","*.quikfuzion.com|quikfuzion.com","","false"
"52.202.203.203","*.advantagovernmentservices.com","","","","","*.advantagovernmentservices.com|advantagovernmentservices.com","","false"
"52.202.203.208","*.perchinsights.com","","","","","*.perchinsights.com","","false"
"52.202.203.220","*.paskr.com","","","","","*.paskr.com","","false"
"52.202.203.224","yopro.app","","","","","yopro.app|*.yopro.app|www.yopro.app","","false"
"52.202.203.225","*.s.mhome.ai","","","","","*.s.mhome.ai","","false"
"52.202.203.228","dashboard.evowalkmetrics.com","","","","","dashboard.evowalkmetrics.com","","false"
"52.202.203.229","kube-apiserver","","","","","eb5b86dd0807ab7980579657f1c3af50.gr7.us-east-1.eks.amazonaws.com|ip-172-16-118-132.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.47.39.164|172.16.118.132","false"
"52.202.203.248","*.api.benzinga.com","","","","","*.api.benzinga.com|api.benzinga.com|*.pro.benzinga.com|*.internal.benzinga.com|*.benzinga.com","","false"
"52.202.203.252","doximity.com","","","","","doximity.com|*.doximity.com","","false"
