IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"35.153.46.48","*.beta.americanchip.io","","","","","*.beta.americanchip.io","","false"
"35.153.46.35","signatureservice-sandbox.development.namespaces.us","","","","","signatureservice-sandbox.development.namespaces.us|*.internal.signatureservice-sandbox.development.namespaces.us|*.signatureservice-sandbox.development.namespaces.us","","false"
"35.153.46.52","*.finance.plusgrade.com","","","","","*.finance.plusgrade.com","","false"
"35.153.46.36","pj1.gamma.barossa.dubai.aws.dev","","","","","pj1.gamma.barossa.dubai.aws.dev","","false"
"35.153.46.49","kube-apiserver","","","","","4d76a7670837da4d006d7e746914f064.gr7.us-east-1.eks.amazonaws.com|ip-172-16-45-223.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.102.2.5|172.16.45.223","false"
"35.153.46.67","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"35.153.46.73","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-01.us-east-1.es.amazonaws.com","","false"
"35.153.46.70","blackbox.convera.com","","","","","blackbox.convera.com|marketing.convera.com|origin.marketing.convera.com|origin.blackbox.convera.com","","false"
"35.153.46.91","healthyflow.lat","","","","","healthyflow.lat|patients-ws.healthyflow.lat|clinic.healthyflow.lat|api.healthyflow.lat","","false"
"35.153.46.100","*.route53.lexis.com","RELX INC.","US","New York","New York","*.route53.lexis.com|*.lexis.com|lexis.com|route53.lexis.com","","false"
"35.153.46.102","*.go2cloud.org","","","","","*.go2cloud.org","","false"
"35.153.46.109","localhost","localhost","","","","","","true"
"35.153.46.106","portal.quattror.com.br","","","","","portal.quattror.com.br","","false"
"35.153.46.116","*.avizia.com","","","","","*.avizia.com|avizia.com","","false"
"35.153.46.130","mgmt.roansolutions.com","","","","","mgmt.roansolutions.com|remote.roansolutions.com","","false"
