IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"52.88.32.141","*.colleague.elluciancloud.com","Ellucian Company LLC","US","Reston","Virginia","*.colleague.elluciancloud.com","","false"
"52.88.32.110","*.photoboxx.me","","","","","*.photoboxx.me|photoboxx.me","","false"
"52.88.32.142","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com|*.cell-02.us-west-2.es.amazonaws.com","","false"
"52.88.32.98","*.starlightglade.com","F5, Inc.","US","Seattle","Washington","*.starlightglade.com|starlightglade.com","","false"
"52.88.32.163","*.beta.us-west-2.labeling.crowdscale.aws.a2z.com","","","","","*.beta.us-west-2.labeling.crowdscale.aws.a2z.com","","false"
"52.88.32.96","*.agricor-regtech.de","","","","","*.agricor-regtech.de|*.qa.agricor-regtech.de|*.prod.agricor-regtech.de|*.preprod.agricor-regtech.de|*.staging.agricor-regtech.de|*.dev.agricor-regtech.de","","false"
"52.88.32.144","*.panasonic.aero","Panasonic Avionics Corporation","US","Irvine","California","*.panasonic.aero|panasonic.aero","","false"
"52.88.32.171","*.stage.lithium.com","","","","","*.stage.lithium.com|stage.lithium.com","","false"
"52.88.32.146","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com|*.cell-02.us-west-2.es.amazonaws.com","","false"
"52.88.32.152","*.sepionet.com","","","","","*.sepionet.com","","false"
"52.88.32.180","origin.apprship.topics.production.k1.amazon.brightspot.cloud","","","","","origin.apprship.topics.production.k1.amazon.brightspot.cloud|cms.apprship.topics.production.k1.amazon.brightspot.cloud|*.cms.apprship.topics.production.k1.amazon.brightspot.cloud|*.apprship.topics.production.k1.amazon.brightspot.cloud|verify.origin.apprship.topics.production.k1.amazon.brightspot.cloud|apprship.topics.production.k1.amazon.brightspot.cloud|*.origin.apprship.topics.production.k1.amazon.brightspot.cloud|verify.cms.apprship.topics.production.k1.amazon.brightspot.cloud|static.apprship.topics.production.k1.amazon.brightspot.cloud","","false"
"52.88.32.183","cognito-idp.us-west-2.amazonaws.com","","","","","cognito-idp.us-west-2.amazonaws.com|cognito-idp-fips.us-west-2.amazonaws.com","","false"
"52.88.32.143","kube-apiserver","","","","","38ec7057cb39477c7b3dd6f5528ab562.gr7.us-west-2.eks.amazonaws.com|ip-172-16-62-100.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.1.11.28|172.16.62.100","false"
"52.88.32.186","*.controlt.com.co","","","","","*.controlt.com.co","","false"
"52.88.32.208","boydgaming.getdbt.com","","","","","boydgaming.getdbt.com|*.cloud.boydgaming.getdbt.com|*.boydgaming.getdbt.com","","false"
"52.88.32.205","awsconfig.security.cribl.io","","","","","awsconfig.security.cribl.io","","false"
"52.88.32.210","*.us.kuali.co","","","","","*.us.kuali.co|*.kualiprivate.com|*.us.kualiprivate.com|*.kuali.co","","false"
"52.88.32.209","*.analytics.0001.sbx.auw2.zuora.com","","","","","*.analytics.0001.sbx.auw2.zuora.com","","false"
"52.88.32.218","setstream.io","","","","","setstream.io|live.setstream.io","","false"
"52.88.32.204","*.encorepfs.com","","","","","*.encorepfs.com","","false"
"52.88.32.217","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com|*.cell-02.us-west-2.es.amazonaws.com","","false"
"52.88.32.227","ui.dev.coupons.dash.sprintfwd.com","","","","","ui.dev.coupons.dash.sprintfwd.com","","false"
"52.88.32.235","unstable-admin.janepods.com","","","","","unstable-admin.janepods.com|*.unstable-admin.janepods.com","","false"
"52.88.32.238","*.mdstand.com","","","","","*.mdstand.com|mdstand.com","","false"
"52.88.32.243","app.quartzhq.com","","","","","app.quartzhq.com|www.quartzhq.com","","false"
"52.88.32.249","*.emojot.com","","","","","*.emojot.com|emojot.com","","false"
"52.88.32.254","pdt.pdt.stanford.edu","","","","","pdt.pdt.stanford.edu","","false"
"52.88.33.16","fioprotocol.io","","","","","fioprotocol.io|*.fioprotocol.io","","false"
"52.88.33.19","ip-172-30-1-111.ec2.internal","SomeOrganization","--","SomeCity","SomeState","","","true"
"52.88.33.18","vouch-stg.us","","","","","vouch-stg.us|*.vouch-stg.us","","false"
"52.88.33.35","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com","","false"
"52.88.33.42","*.k8s-dev.finn.ai","","","","","*.k8s-dev.finn.ai","","false"
"52.88.33.37","kube-apiserver","","","","","6ad12072e362038e1cdb29bbca7ddf57.gr7.us-west-2.eks.amazonaws.com|ip-172-16-63-55.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.1.129.101|172.16.63.55","false"
"52.88.33.43","*.ozmap.com.br","","","","","*.ozmap.com.br|ozmap.com.br","","false"
"52.88.33.62","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com|*.cell-02.us-west-2.es.amazonaws.com","","false"
"52.88.33.69","int001.com","","","","","int001.com|*.int001.com|*.va.int001.com","","false"
"52.88.33.70","wp.debate.com.mx","","","","","wp.debate.com.mx","","false"
"52.88.33.67","twitch.us-west-2.prod.twitchvertex.twitch.a2z.com","","","","","twitch.us-west-2.prod.twitchvertex.twitch.a2z.com","","false"
"52.88.33.86","hapi.hoovers.com","The Dun and Bradstreet Corporation","US","Short Hills","NJ","hapi.hoovers.com","","false"
"52.88.33.85","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com|*.cell-02.us-west-2.es.amazonaws.com","","false"
"52.88.33.79","*.evercheck.com","","","","","*.evercheck.com|evercheck.com","","false"
"52.88.33.100","*.server-cp580nka.preflig.ht","","","","","*.server-cp580nka.preflig.ht|server-cp580nka.preflig.ht","","false"
"52.88.33.113","*.medhokbsca.com","","","","","*.medhokbsca.com|medhokbsca.com","","false"
"52.88.33.91","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com|*.cell-02.us-west-2.es.amazonaws.com","","false"
"52.88.33.108","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com|*.cell-02.us-west-2.es.amazonaws.com","","false"
"52.88.33.114","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com|*.cell-02.us-west-2.es.amazonaws.com","","false"
"52.88.33.107","*.g498.io","","","","","*.g498.io","","false"
"52.88.33.112","*.us-west-2.osis.amazonaws.com","","","","","*.us-west-2.osis.amazonaws.com|*.osis.us-west-2.vpce.amazonaws.com","","false"
"52.88.33.123","*.binaryfountain.com","","","","","*.binaryfountain.com|*.pressganey.com|*.rioseo.com|*.consumerism.pressganey.com","","false"
"52.88.33.129","mymva.idkit.co","","","","","mymva.idkit.co","","false"
"52.88.33.126","api.abcotvs.com","","","","","api.abcotvs.com","","false"
"52.88.33.121","b2b.idexx.com","","","","","b2b.idexx.com","","false"
"52.88.33.131","kube-apiserver","","","","","68e39af4b43ccd19128cede4ada9601c.gr7.us-west-2.eks.amazonaws.com|ip-10-0-119-190.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.31.22.171|10.0.119.190","false"
"52.88.33.132","*.campaign.adobe.com","Adobe Inc.","US","San Jose","California","*.campaign.adobe.com","","false"
"52.88.33.134","*.gannett.com","Gannett Co., Inc.","US","New York","New York","*.gannett.com|gannett.com|*.us.ad.gannett.com|us.ad.gannett.com","","false"
"52.88.33.142","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com","","false"
"52.88.33.153","proxy.salty-island-2682.herokuspace.com","Heroku","US","San Francisco","California","proxy.salty-island-2682.herokuspace.com","","false"
"52.88.33.144","identity.lcardapp.com","","","","","identity.lcardapp.com|www.identity.lcardapp.com","","false"
"52.88.33.154","uswest2-gamma.signal-flare.ops.amazon.dev","","","","","uswest2-gamma.signal-flare.ops.amazon.dev","","false"
"52.88.33.152","*.ifactorenergy.com","KUBRA Arizona, Inc.","US","Tempe","Arizona","*.ifactorenergy.com|ifactorenergy.com","","false"
"52.88.33.157","*.k8s-sandbox01.goodleap.services","","","","","*.k8s-sandbox01.goodleap.services","","false"
"52.88.33.172","forestry.trimble.com","","","","","forestry.trimble.com|*.forestry.trimble.com","","false"
"52.88.33.174","ip-10-193-1-97.us-west-2.compute.internal","Unspecified","US","","","ip-10-193-1-97.us-west-2.compute.internal","","false"
"52.88.33.178","api-ms-uat.payments.jpmorgan.com","JPMorgan Chase and Co.","US","New York","New York","api-ms-uat.payments.jpmorgan.com","","false"
"52.88.33.163","app.coefficient.io","","","","","app.coefficient.io","","false"
"52.88.33.168","*.harboursd.net","","","","","*.harboursd.net|*.dankex.net|*.stormborngame.com|*.harbourusd.com","","false"
"52.88.33.173","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com","","false"
"52.88.33.179","sp-en-cr-web-trf.model.model.staging.steamship.com","","","","","sp-en-cr-web-trf.model.model.staging.steamship.com","","false"
"52.88.33.182","*.iscs.com","","","","","*.iscs.com","","false"
"52.88.33.183","kube-apiserver","","","","","3e7d3e3d4496bd44138f3ba981edc40e.gr7.us-west-2.eks.amazonaws.com|ip-10-0-35-243.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|100.88.113.131|10.0.35.243","false"
"52.88.33.187","*.campaign.adobe.com","Adobe Inc.","US","San Jose","California","*.campaign.adobe.com","","false"
"52.88.33.196","mobile.muxanalytics.com","","","","","mobile.muxanalytics.com","","false"
"52.88.33.193","*.us.or.lcc.navigacloud.com","","","","","*.us.or.lcc.navigacloud.com|*.stage.us.or.lcc.navigacloud.com","","false"
"52.88.33.188","*.dev.fabric.realogydev.com","","","","","*.dev.fabric.realogydev.com","","false"
"52.88.33.192","insured.savemoneycarinsurance.com","","","","","insured.savemoneycarinsurance.com","","false"
"52.88.33.180","*.grubhub.com","","","","","*.grubhub.com|grubhub.com","","false"
"52.88.33.211","lres.pod-14.cell-2.gamma.us-west-2.nonprod.connect.aws.a2z.com","","","","","lres.pod-14.cell-2.gamma.us-west-2.nonprod.connect.aws.a2z.com","","false"
