IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"3.219.61.197","*.apps.rosa.hccp01ue1.8moc.p3.openshiftapps.com","","","","","*.2l8ajrmjqgmljkf9570rbonrr1v7167o.rosa.hccp01ue1.8moc.p3.openshiftapps.com|*.apps.rosa.hccp01ue1.8moc.p3.openshiftapps.com","","false"
"3.219.61.210","jira-cloud-addon.integrations.veracode.com","","","","","jira-cloud-addon.integrations.veracode.com","","false"
"3.219.61.209","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"3.219.61.213","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-01.us-east-1.es.amazonaws.com","","false"
"3.219.61.217","*.classlink.io","","","","","*.classlink.io","","false"
"3.219.61.219","dev.7thsense.io","","","","","dev.7thsense.io|dev.atmos.7thsense.io|*.dev.7thsense.io|*.dev.atmos.7thsense.io","","false"
"3.219.61.227","*.nonamesec.com","","","","","*.nonamesec.com","","false"
"3.219.61.229","duda.co","","","","","*.duda.co|*.dudamobile.com|*.dudaone.com|duda.co|dudamobile.com|dudaone.com","","false"
"3.219.61.231","*.prometheusgroup.app","","","","","*.prometheusgroup.app","","false"
"3.219.61.230","higress-gateway","","","","","higress-gateway","","true"
"3.219.61.239","dev.dlframe.com","","","","","dev.dlframe.com|*.dev.dlframe.com","","false"
"3.219.61.241","argo.qaplatform.n5platform.com","","","","","argo.qaplatform.n5platform.com","","false"
"3.219.61.245","*.zofri.cl","Zona franca de Iquique S.A","CL","Santiago","","*.zofri.cl|zofri.cl","","false"
"3.219.61.252","amazingdrivers.com","","","","","amazingdrivers.com|*.amazingdrivers.com","","false"
"3.219.62.3","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"3.219.62.7","*.central-sight.com","","","","","*.central-sight.com","","false"
"3.219.62.12","*.learningrocks.info","","","","","*.learningrocks.info|learningrocks.info","","false"
"3.219.62.14","stx-online-sales-services-pp35.quantum.secutix.com","","","","","stx-online-sales-services-pp35.quantum.secutix.com","","false"
"3.219.62.15","machinelearningagent.com","","","","","machinelearningagent.com|www.machinelearningagent.com","","false"
"3.219.62.19","www.harborbrakes.com","","","","","www.harborbrakes.com|harborbrakes.com","","false"
"3.219.62.20","cgp.cgscholar.com","","","","","cgp.cgscholar.com","","false"
