IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"34.46.2.120","34.70.115.63","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.70.115.63|34.118.224.1|10.125.222.2|35.184.77.253|34.46.2.120|35.193.89.220","false"
"34.46.2.18","35.193.108.108","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.193.108.108|10.72.32.1|34.121.191.15|34.72.92.202|34.41.67.21|10.128.0.6","false"
"34.46.2.178","34.134.161.49","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.134.161.49|34.118.224.1|10.128.0.2|34.46.2.178","false"
"34.46.1.220","34.133.37.96","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.133.37.96|34.118.224.1|10.14.98.2|34.46.1.220|34.29.165.232|104.154.86.155","false"
"34.46.3.12","34.67.134.157","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.67.134.157|34.118.224.1|10.0.74.2|34.46.3.12|34.70.161.186|35.226.74.42","false"
"34.46.2.118","146.148.91.197","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","146.148.91.197|34.118.224.1|10.128.0.2|34.46.2.118","false"
"34.46.2.154","104.198.142.46","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","104.198.142.46|10.16.0.1|34.46.2.154|35.224.15.118|104.198.183.138|10.128.0.21","false"
"34.46.2.220","35.224.60.2","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.224.60.2|34.118.224.1|34.170.25.25|34.46.2.220|35.223.21.164|10.128.0.136","false"
"34.46.2.198","34.134.13.151","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.134.13.151|34.118.224.1|34.46.2.198|104.154.138.114|34.170.65.152|10.128.0.76","false"
"34.46.2.225","aiplatform.googleapis.com","Google LLC","US","Sunnyvale","CA","","","true"
"34.46.2.238","*.cluster-e5ult5dimfdsgqamezhpseazw6.cloudworkstations.dev","","","","","*.cluster-e5ult5dimfdsgqamezhpseazw6.cloudworkstations.dev","","false"
"34.46.3.1","34.122.4.19","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.122.4.19|34.118.224.1|10.128.15.215|34.46.3.1","false"
"34.46.2.174","34.44.125.208","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.44.125.208|34.118.224.1|34.16.111.85|34.46.2.174|35.188.16.88|34.122.99.46|10.128.0.2","false"
"34.46.2.129","34.31.194.72","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.31.194.72|10.16.0.1|10.128.0.2|146.148.32.161|34.31.131.228|34.46.2.129","false"
"34.46.3.34","34.46.3.34","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.3.34|10.16.0.1|34.45.192.58|34.72.48.143|104.197.183.84|10.128.15.205","false"
"34.46.2.3","34.44.201.173","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.44.201.173|34.118.224.1|10.128.0.2|34.72.66.238|34.46.2.3|35.184.230.86","false"
"34.46.2.232","hanacloud.ondemand.com","SAP SE","DE","Walldorf","Baden-Württemberg","hanacloud.ondemand.com|*.ingress.hdl.500472gp-hdl-hc-dev.dev-gcp.hanacloud.ondemand.com|*.gateway.hdl.500472gp-hdl-hc-dev.dev-gcp.hanacloud.ondemand.com|*.iq.hdl.500472gp-hdl-hc-dev.dev-gcp.hanacloud.ondemand.com|*.files.hdl.500472gp-hdl-hc-dev.dev-gcp.hanacloud.ondemand.com|*.sharing.hdl.500472gp-hdl-hc-dev.dev-gcp.hanacloud.ondemand.com|*.ingress.hana.500472gp-haas-hc-dev.dev-gcp.hanacloud.ondemand.com|*.gateway.hana.500472gp-haas-hc-dev.dev-gcp.hanacloud.ondemand.com|*.hana.500472gp-haas-hc-dev.dev-gcp.hanacloud.ondemand.com|*.zkm.hana.500472gp-haas-hc-dev.dev-gcp.hanacloud.ondemand.com|*.bn3.hana.500472gp-haas-hc-dev.dev-gcp.hanacloud.ondemand.com|*.q47.hana.500472gp-haas-hc-dev.dev-gcp.hanacloud.ondemand.com|*.connectivity.hana.500472gp-haas-hc-dev.dev-gcp.hanacloud.ondemand.com|*.ingress.orchestration.500472gp-orc-hc-dev.dev-gcp.hanacloud.ondemand.com|*.gateway.orchestration.500472gp-orc-hc-dev.dev-gcp.hanacloud.ondemand.com|*.hana-tooling.ingress.orchestration.500472gp-orc-hc-dev.dev-gcp.hanacloud.ondemand.com|*.cf.hana-tooling.ingress.orchestration.500472gp-orc-hc-dev.dev-gcp.hanacloud.ondemand.com","","false"
"34.46.3.31","34.45.72.29","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.45.72.29|34.118.224.1|34.46.3.31|10.128.0.22","false"
"34.46.2.128","34.30.32.45","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.30.32.45|34.118.224.1|172.16.0.18|34.46.2.128|34.45.71.116","false"
"34.46.2.55","*.relay.splashtop.com","","","","","*.relay.splashtop.com|relay.splashtop.com","","false"
"34.46.3.32","saiteja.sensay.in","","","","","saiteja.sensay.in","","false"
"34.46.4.19","34.46.4.19","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.4.19|34.118.224.1|10.128.0.8|34.44.94.199|34.170.128.92|104.198.246.149","false"
"34.46.4.3","cl-58002.dev.apis.sojern.net","","","","","cl-58002.dev.apis.sojern.net","","false"
"34.46.4.21","*.ripostegames.com","","","","","*.ripostegames.com|ripostegames.com","","false"
"34.46.4.34","35.194.47.145","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.194.47.145|172.18.0.1|172.19.0.2|34.46.4.34|35.193.108.26|34.171.208.169","false"
"34.46.4.37","34.46.4.37","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.4.37|172.18.0.1|172.19.0.2|34.135.137.165|35.239.190.123|34.122.202.232","false"
"34.46.4.33","34.72.140.23","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.72.140.23|34.118.224.1|34.67.198.169|34.46.4.33|104.154.188.156|10.128.15.212","false"
"34.46.4.47","34.46.173.36","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.173.36|34.118.224.1|34.46.4.47|34.42.24.20|35.238.71.216|10.128.0.2","false"
"34.46.4.68","34.66.137.105","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.66.137.105|10.64.0.1|10.128.1.28|34.67.162.114|35.184.139.189|34.46.4.68","false"
"34.46.4.89","34.46.4.89","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.4.89|34.118.224.1|10.128.0.18|34.172.234.85","false"
"34.46.4.131","35.238.242.203","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.238.242.203|10.16.0.1|130.211.205.222|34.46.4.131|34.16.25.208|10.128.15.215","false"
"34.46.5.116","34.46.5.116","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.5.116|10.1.96.1","false"
"34.46.4.156","34.46.4.156","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.4.156|172.18.0.1|172.16.0.2|34.123.246.140|34.68.36.100|130.211.210.252","false"
"34.46.4.123","accede.estudio.app","","","","","accede.estudio.app","","false"
"34.46.4.161","34.46.4.161","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.4.161|34.118.224.1|10.124.250.2|34.46.13.102|34.46.250.231|34.44.129.169","false"
"34.46.4.132","34.46.4.132","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.4.132|34.118.224.1|34.172.82.71|10.128.0.96","false"
"34.46.4.101","woodlands.3cx.us","","","","","woodlands.3cx.us","","false"
"34.46.5.208","34.46.5.208","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.5.208|34.118.224.1|10.112.180.2|34.68.179.233|34.173.57.96|34.121.6.159","false"
"34.46.4.129","ast.dgitaly.it","","","","","ast.dgitaly.it","","false"
"34.46.5.88","104.197.126.164","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","104.197.126.164|10.16.0.1|10.128.0.63|34.172.24.219|34.42.117.56|34.46.5.88","false"
"34.46.5.9","34.134.245.208","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.134.245.208|34.118.224.1|10.128.0.3|34.171.240.70|35.223.183.162|34.46.5.9","false"
"34.46.5.154","34.66.206.4","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.66.206.4|34.118.224.1|10.128.15.216|34.135.131.255|34.46.5.154|34.68.36.200","false"
"34.46.5.21","34.46.5.21","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.5.21|252.5.0.1|252.4.38.3|34.30.76.252|35.224.196.228|34.134.117.58","false"
"34.46.4.252","34.46.4.252","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.4.252|34.118.224.1|10.128.0.50|104.197.203.164","false"
"34.46.4.195","34.171.74.189","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.171.74.189|34.118.224.1|10.128.0.2|35.223.58.10|34.46.4.195|34.41.255.100","false"
"34.46.4.215","34.46.4.215","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.46.4.215|34.118.224.1|10.128.0.18|34.132.44.123|34.172.103.70|35.232.212.164","false"
"34.46.5.133","aiplatform.googleapis.com","Google LLC","US","Sunnyvale","CA","","","true"
"34.46.4.222","34.41.58.78","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.41.58.78|34.118.224.1|192.168.167.2|34.135.225.68|34.41.51.161|34.46.4.222","false"
"34.46.5.58","35.239.230.193","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.239.230.193|10.16.0.1|10.128.0.4|34.134.22.77|35.184.14.27|34.46.5.58","false"
"34.46.4.233","34.27.48.238","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.27.48.238|34.118.224.1|34.135.172.19|34.46.4.233|34.46.37.202|10.128.0.2","false"
"34.46.4.209","34.46.4.209","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local|fdf3f0eff64d48219fe6.us-central1.cloud-gke.goog","34.46.4.209|10.4.0.1|10.128.0.57|34.171.166.141|104.198.163.118|34.27.111.152","false"
