IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"35.199.163.98","35.199.163.98","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.199.163.98|10.16.128.1|10.16.64.2|34.83.202.91|34.82.61.110|34.19.126.224","false"
"35.199.163.84","35.199.163.84","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.199.163.84|34.118.224.1|34.105.49.237|34.168.68.186|35.227.162.89|10.138.0.47","false"
"35.199.160.56","35.199.160.56","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.199.160.56|10.227.237.1|10.0.0.2|34.82.144.194|35.197.42.196|34.82.123.68|34.19.2.123","false"
"35.199.160.115","35.199.160.115","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.199.160.115|34.118.224.1|10.138.15.213|34.127.69.52|34.82.243.227|35.233.177.230","false"
"35.199.160.75","35.199.160.75","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.199.160.75|10.16.0.1|34.127.92.29|35.227.190.131|34.105.23.66|10.138.15.203","false"
"35.199.160.101","35.199.160.101","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.199.160.101|10.43.240.1|34.168.182.174|34.82.16.246|34.83.115.252|10.138.0.2","false"
"35.199.160.39","34.127.89.48","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.127.89.48|34.118.224.1|10.8.0.39|35.203.163.224|34.168.83.9","false"
"35.199.163.63","35.199.163.63","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.199.163.63|10.1.0.1|104.199.122.111|35.247.64.154|35.185.249.232|10.0.252.44","false"
"35.199.163.78","34.168.39.7","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.168.39.7|34.118.224.1|10.34.40.2|35.199.163.78|34.187.177.231","false"
"35.199.163.83","*.bstock.io","","","","","*.bstock.io|bstock.io","","false"
"35.199.160.160","erob.hopto.org","","","","","erob.hopto.org","","false"
"35.199.160.79","35.197.77.196","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.197.77.196|10.132.0.1|34.82.71.190|34.105.82.31|35.199.160.79|10.0.3.218","false"
"35.199.163.131","35.247.58.154","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.247.58.154|34.118.224.1|10.37.0.2|34.19.110.229|34.169.162.220|34.168.101.150","false"
