IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"18.134.122.225","geo-internal.switchstancehq.com","","","","","geo-internal.switchstancehq.com","","false"
"18.134.122.226","*.tpcy20wyv5m94.eu-west-2.cs.amazonlightsail.com","","","","","*.tpcy20wyv5m94.eu-west-2.cs.amazonlightsail.com","","false"
"18.134.122.228","acornlive.com","","","","","acornlive.com|secure.acornlive.com|www.acornlive.com","","false"
"18.134.122.237","*.openmove.com","","","","","*.openmove.com|openmove.com","","false"
"18.134.122.238","kube-apiserver","","","","","aeb7f3402776bd9bddb884eb4d157923.gr7.eu-west-2.eks.amazonaws.com|ip-172-16-105-253.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.42.0.20|172.16.105.253","false"
"18.134.122.248","www.example.com","","","","","www.example.com","","true"
"18.134.122.251","TRAEFIK DEFAULT CERT","","","","","4006ea1fefa073e25007f0a8798f24dc.a02ffeb25dec8bcc071d3193fccffc17.traefik.default","","true"
"18.134.122.254","*.uat.nonprod.oneadvanced.io","","","","","*.uat.nonprod.oneadvanced.io","","false"
"18.134.122.255","*.sandbox.nourishcare.com","","","","","*.sandbox.nourishcare.com","","false"
"18.134.123.21","*.omea.io","","","","","*.omea.io","","false"
"18.134.123.30","lras.pod-12.cell-1.prod.eu-west-2.prod.connect.aws.a2z.com","","","","","lras.pod-12.cell-1.prod.eu-west-2.prod.connect.aws.a2z.com","","false"
"18.134.123.34","echo.conek.cloud","","","","","echo.conek.cloud","","false"
"18.134.123.37","aws.bespokesoftware.co.uk","","","","","aws.bespokesoftware.co.uk","","false"
"18.134.123.38","kube-apiserver","","","","","76f683b895ea2b00cd7cba14d3c83f29.gr7.eu-west-2.eks.amazonaws.com|ip-10-0-187-81.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.154.96|10.0.187.81","false"
"18.134.123.43","kube-apiserver","","","","","410c69a32e1b7e3815126003a5a4eab0.gr7.eu-west-2.eks.amazonaws.com|ip-10-0-115-165.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.23.0.1|192.168.68.156|10.0.115.165","false"
"18.134.123.51","eu-west-2.gamma.clover-template.connect.aws.dev","","","","","eu-west-2.gamma.clover-template.connect.aws.dev","","false"
"18.134.123.55","staging.api.btchub.co.uk","","","","","staging.api.btchub.co.uk|staging.api-itr.btchub.co.uk|staging.api-ap.btchub.co.uk|staging.api-ct.btchub.co.uk|staging.api-mtdfvat.btchub.co.uk|staging.api-ptr.btchub.co.uk","","false"
"18.134.123.74","adapt-uat.ewnova.dev","","","","","adapt-uat.ewnova.dev","","false"
"18.134.123.81","stage.gym-bro.co.uk","","","","","stage.gym-bro.co.uk|*.stage.gym-bro.co.uk","","false"
"18.134.123.82","*.eu-west-2.es.amazonaws.com","","","","","*.eu-west-2.es.amazonaws.com","","false"
"18.134.123.86","*.staging.textlocal.com","","","","","*.staging.textlocal.com","","false"
"18.134.123.85","*.mq.eu-west-2.amazonaws.com","","","","","*.mq.eu-west-2.amazonaws.com","","false"
"18.134.123.96","*.cloud.wazuh.com","","","","","*.cloud.wazuh.com","","false"
"18.134.123.98","*.keep.fit","","","","","*.keep.fit","","false"
