IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"3.218.213.86","*.stg.splunkcloud.com","Splunk Inc.","US","San Francisco","California","*.stg.splunkcloud.com|stg.splunkcloud.com","","false"
"3.218.213.88","*.fieldsquared.com","","","","","*.fieldsquared.com|fieldsquared.com","","false"
"3.218.213.87","main-goofy-carson-03c8aau.cribl.cloud","","","","","main-goofy-carson-03c8aau.cribl.cloud|default.main.goofy-carson-03c8aau.cribl.cloud|in.main-default-goofy-carson-03c8aau.cribl.cloud|*.main.goofy-carson-03c8aau.cribl.cloud","","false"
"3.218.213.91","zabbix.cadmus.com.br","","","","","zabbix.cadmus.com.br","","false"
"3.218.213.106","staging.egan-jones.io","","","","","staging.egan-jones.io","","false"
"3.218.213.116","kube-apiserver","","","","","ab3553dc1cbc8db962c341804bfe7fe2.yl4.us-east-1.eks.amazonaws.com|ip-10-0-112-49.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.31.15.231|10.0.112.49","false"
"3.218.213.121","www.example.com","Bitnami","","","","","","true"
"3.218.213.124","www.securedbyjohn.net","","","","","securedbyjohn.net|www.securedbyjohn.net","","false"
"3.218.213.125","kube-apiserver","","","","","8708d2fb5ecb1d91240183d5e0ffc615.gr7.us-east-1.eks.amazonaws.com|ip-10-0-42-83.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.100.164|10.0.42.83","false"
"3.218.213.128","*.onepacs.com","","","","","*.onepacs.com","","false"
"3.218.213.129","kube-apiserver","","","","","8915c59023ef167c4f1272e8f0aa396b.gr7.us-east-1.eks.amazonaws.com|ip-172-16-38-61.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.210.234|172.16.38.61","false"
"3.218.213.131","*.services.ally.com","","","","","*.services.ally.com","","false"
"3.218.213.134","*.sharenote.com","","","","","*.sharenote.com","","false"
"3.218.213.139","developer.dev-airkey.com","","","","","developer.dev-airkey.com","","false"
"3.218.213.144","kube-apiserver","","","","","888aa76a414ed00e7b616f642c4668e2.gr7.us-east-1.eks.amazonaws.com|ip-10-0-169-130.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.85.48|10.0.169.130","false"
"3.218.213.146","*.photoccino.com","","","","","*.photoccino.com","","false"
"3.218.213.148","predevauth.netacad.com","","","","","predevauth.netacad.com|*.netacad.com|netacad.com","","false"
"3.218.213.156","*.digitalxforce.com","","","","","*.digitalxforce.com","","false"
"3.218.213.158","3.218.213.158","Uplevel Systems Inc","US","","Oregon","","","false"
"3.218.213.172","stgx.msap.io","","","","","stgx.msap.io|*.stgx.msap.io","","false"
"3.218.213.182","*.clearviewlogix.com","","","","","*.clearviewlogix.com|clearviewlogix.com","","false"
"3.218.213.191","*.goto-rtc.com","","","","","*.goto-rtc.com","","false"
"3.218.213.194","devld.launchdeck.com","","","","","devld.launchdeck.com","","false"
"3.218.213.206","benevity-dev.org","","","","","benevity-dev.org|*.benevity-dev.org","","false"
"3.218.213.208","*.stations.undergroundshirts.com","","","","","*.stations.undergroundshirts.com","","false"
"3.218.213.212","*.wfmfcst.tam.us1.mdev.inforcloudsuite.com","","","","","*.wfmfcst.tam.us1.mdev.inforcloudsuite.com","","false"
"3.218.213.214","kube-apiserver","","","","","3b973678b912ac288d18b98a8da604bb.gr7.us-east-1.eks.amazonaws.com|ip-10-0-113-135.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.95.54|10.0.113.135","false"
"3.218.213.217","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-01.us-east-1.es.amazonaws.com","","false"
"3.218.213.224","*.chronotrack.com","","","","","*.chronotrack.com|chronotrack.com","","false"
"3.218.213.227","openshift-ingress","openshift","","","","*.apps.f1cb0df435ae91fd1b23-mgmt.ci.hypershift.devcluster.openshift.com","","false"
"3.218.213.231","","Internet Widgits Pty Ltd","AU","","Some-State","","","true"
"3.218.213.236","businessprofile.io","","","","","businessprofile.io|*.businessprofile.io|elevationaandf.com|*.elevationaandf.com","","false"
"3.218.213.238","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"3.218.213.239","kube-apiserver","","","","","eb6c30660530da05ca0d09f08d9b0fbf.gr7.us-east-1.eks.amazonaws.com|ip-172-16-123-114.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.10.74.27|172.16.123.114","false"
"3.218.213.248","*.prod.proquest.com","","","","","*.prod.proquest.com|*.pi2solutions.com","","false"
"3.218.213.250","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"3.218.213.255","terminal.africa","","","","","terminal.africa|*.terminal.africa","","false"
"3.218.214.0","appease.mydatacrest.com","","","","","appease.mydatacrest.com","","false"
"3.218.214.10","*.sentinelone.net","Sentinelone, Inc.","US","Mountain View","California","*.sentinelone.net","","false"
"3.218.214.20","*.barracuda.link","","","","","*.barracuda.link","","false"
"3.218.214.19","198LIdRB5Q","NetFoundry","US","Charlotte","NC","localhost|33bef14e-e884-4e00-8de4-2b4048cad507.production.netfoundry.io","","false"
"3.218.214.22","pin.login.nvidia.com","","","","","pin.login.nvidia.com|pin.us-east-1.login.nvidia.com","","false"
"3.218.214.25","gold0029.gameloft.com","","","","","*.gold0029.gameloft.com|gold0029.gameloft.com","","false"
"3.218.214.23","*.us-east-1.cloudsearch.amazonaws.com","","","","","*.us-east-1.cloudsearch.amazonaws.com","","false"
"3.218.214.34","*.salonps.com","","","","","*.salonps.com|pslifestyle.com|salonps.com|*.pslifestyle.com","","false"
"3.218.214.41","*.moodle.rd.class.com","","","","","*.moodle.rd.class.com|*.moodle.pod-1.us-east-1.rd.classedu4.com","","false"
"3.218.214.43","kube-apiserver","","","","","888e882349468742d20d6e9171f2bb93.gr7.us-east-1.eks.amazonaws.com|ip-172-16-126-31.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.4.182.54|172.16.126.31","false"
"3.218.214.50","*.fleet-assist.com","TTN Fleet Solutions","US","Argyle","Texas","*.fleet-assist.com|fleet-assist.com","","false"
"3.218.214.53","*.themoneyfactory.com","","","","","*.themoneyfactory.com","","false"
"3.218.214.56","personal-loan.prod.creditas.io","","","","","personal-loan.prod.creditas.io","","false"
"3.218.214.64","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"3.218.214.70","*.yourdiamonds.com","","","","","*.yourdiamonds.com|yourdiamonds.com","","false"
"3.218.214.76","*.virginmobile.mx","","","","","*.virginmobile.mx","","false"
"3.218.214.80","kube-apiserver","","","","","32d2886d81c79bde9db23b1e4bf26a58.gr7.us-east-1.eks.amazonaws.com|ip-172-16-183-103.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.66.106.91|172.16.183.103","false"
"3.218.214.86","hamptonhub.com","","","","","hamptonhub.com|*.hamptonhub.ca|hamptonhub.ca|*.hamptonhub.com","","false"
"3.218.214.88","*.insproserv.net","","","","","*.insproserv.net","","false"
"3.218.214.90","*.derco.com.pe","","","","","*.derco.com.pe|derco.com.pe","","false"
"3.218.214.101","*.klei.com","","","","","*.klei.com","","false"
"3.218.214.102","gql-server.dev.resy.com","","","","","gql-server.dev.resy.com","","false"
"3.218.214.104","aiva-ai.com","","","","","aiva-ai.com|www.aiva-ai.com","","false"
"3.218.214.108","iad.gamma.query.orchard.cloudtrail.aws.a2z.com","","","","","iad.gamma.query.orchard.cloudtrail.aws.a2z.com","","false"
"3.218.214.113","*.learnwithhomer.com","","","","","*.learnwithhomer.com|learnwithhomer.com","","false"
"3.218.214.115","*.sciencelogic.net","","","","","*.sciencelogic.net|sciencelogic.net","","false"
"3.218.214.117","*.immedia-semi.com","","","","","*.immedia-semi.com","","false"
"3.218.214.118","kube-apiserver","","","","","89a03570ff833974bfec22a8bb3fc011.gr7.us-east-1.eks.amazonaws.com|ip-10-0-186-159.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.16.11.102|10.0.186.159","false"
"3.218.214.121","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"3.218.214.125","*.cloudwaysapps.com","","","","","*.cloudwaysapps.com|cloudwaysapps.com","","false"
"3.218.214.130","*.iobit.com","","","","","*.iobit.com","","false"
"3.218.214.132","*.biblioboard.com","","","","","*.biblioboard.com|*.indieauthorproject.com|librariesshare.com|*.researchdiscovery.org|biblioboard.com|*.librariescreate.com|openresearchlibrary.org|indieauthorday.com|createsharediscover.com|dissertationdiscovery.com|*.openresearchlibrary.org|*.librariesshare.com|*.dissertationdiscovery.com|indieauthorproject.com|researchdiscovery.org|librariescreate.com|*.bibliolabs.com|*.createsharediscover.com|bibliolabs.com","","false"
