IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"3.229.133.60","kube-apiserver","","","","","be1e778b71de26d78ce9b09363ad0257.gr7.us-east-1.eks.amazonaws.com|ip-10-0-42-180.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.18.4.175|10.0.42.180","false"
"3.229.133.68","*.innovapptive.com","","","","","*.innovapptive.com|innovapptive.com","","false"
"3.229.133.74","*.epic-prod-us2.discourse.cloud","","","","","*.epic-prod-us2.discourse.cloud","","false"
"3.229.133.75","slack-g-meet.com","","","","","slack-g-meet.com","","false"
"3.229.133.78","backend-sandbox.metalpay.network","","","","","backend-sandbox.metalpay.network|*.backend-sandbox.metalpay.network|*.api.backend-sandbox.metalpay.network","","false"
"3.229.133.83","*.drtst.org","","","","","*.drtst.org|drtst.org","","false"
"3.229.133.99","emailbuilder.sciton.com","","","","","emailbuilder.sciton.com|sciton.explicat.io","","false"
"3.229.133.101","*.dev-temenos-cloud.net","","","","","*.sit-temenos-cloud.net|sit-temenos-cloud.net|*.dev-temenos-cloud.net|dev-temenos-cloud.net|*.sync.stg-temenos-cloud.net|sync.stg-temenos-cloud.net|*.messaging.qa-temenos-cloud.net|messaging.qa-temenos-cloud.net|*.workspace.sit-temenos-cloud.net|workspace.sit-temenos-cloud.net|*.messaging.dev-temenos-cloud.net|messaging.dev-temenos-cloud.net|*.auth.dev-temenos-cloud.net|auth.dev-temenos-cloud.net|*.auth.sit-temenos-cloud.net|auth.sit-temenos-cloud.net|*.workspace.dev-temenos-cloud.net|workspace.dev-temenos-cloud.net|*.qa-temenos-cloud.net|qa-temenos-cloud.net|*.sync.sit-temenos-cloud.net|sync.sit-temenos-cloud.net|*.sync.dev-temenos-cloud.net|sync.dev-temenos-cloud.net|*.workspace.stg-temenos-cloud.net|workspace.stg-temenos-cloud.net|*.auth.qa-temenos-cloud.net|auth.qa-temenos-cloud.net|*.messaging.stg-temenos-cloud.net|messaging.stg-temenos-cloud.net|*.auth.stg-temenos-cloud.net|auth.stg-temenos-cloud.net|*.sync.qa-temenos-cloud.net|sync.qa-temenos-cloud.net|*.stg-temenos-cloud.net|stg-temenos-cloud.net|*.messaging.sit-temenos-cloud.net|messaging.sit-temenos-cloud.net|*.workspace.qa-temenos-cloud.net|workspace.qa-temenos-cloud.net","","false"
"3.229.133.103","kube-apiserver","","","","","a97ebc37f833678458bb26bfce0ca944.gr7.us-east-1.eks.amazonaws.com|ip-172-16-42-77.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.60.1.10|172.16.42.77","false"
"3.229.133.111","integrabalance.org","","","","","integrabalance.org|*.staffz.org|*.integrabalance.org|*.yoowebsite.com","","false"
"3.229.133.118","*.biddr360.com","","","","","*.biddr360.com","","false"
"3.229.133.128","*.datad0g.com","Datadog, Inc.","US","New York","New York","*.datad0g.com|datad0g.com","","false"
"3.229.133.132","commercialoperations.qa.apps.alconcloud.com","","","","","commercialoperations.qa.apps.alconcloud.com|*.commercialoperations.qa.apps.alconcloud.com","","false"
"3.229.133.142","*.skaivision.net","","","","","*.skaivision.net","","false"
