IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"52.16.245.55","*.securonix.net","","","","","*.securonix.net","","false"
"52.16.245.59","api.sandbox.jdsuk.fluentcommerce.com","","","","","api.sandbox.jdsuk.fluentcommerce.com|sandbox.api.fluentretail.com|*.api.sandbox.jdsuk.fluentcommerce.com|*.sandbox.api.fluentretail.com|*.api.internal.sandbox.jdsuk.fluentcommerce.com|api.internal.sandbox.jdsuk.fluentcommerce.com","","false"
"52.16.245.80","kube-apiserver","","","","","f07c290214c4eedd913074e7a2363f4e.yl4.eu-west-1.eks.amazonaws.com|ip-172-16-115-208.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.224.103.42|172.16.115.208","false"
"52.16.245.84","*.connect.agorapulse.com","","","","","*.connect.agorapulse.com","","false"
"52.16.245.90","*.madbox.io","","","","","*.madbox.io|madbox.io","","false"
"52.16.245.88","tableau.eu1.idbs-dev.com","","","","","tableau.eu1.idbs-dev.com|ticket.tableau.eu1.idbs-dev.com|ticket.tableau.eu1.green.idbs-dev.com|tableau.eu1.green.idbs-dev.com","","false"
"52.16.245.94","vibia.dev","","","","","vibia.dev|*.vibia.dev","","false"
"52.16.245.92","kube-apiserver","","","","","54c728ff38bc57e9b10fcb7b8b1562ce.gr7.eu-west-1.eks.amazonaws.com|ip-10-0-102-53.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.22.1.48|10.0.102.53","false"
"52.16.245.99","scheduler.eu-west-1.amazonaws.com","","","","","*.scheduler.eu-west-1.vpce.amazonaws.com|scheduler.eu-west-1.amazonaws.com|*.scheduler.eu-west-1.amazonaws.com","","false"
"52.16.244.206","beirut.trustserver.net","Trustserver S. L.","ES","","Zaragoza","beirut.trustserver.net","","false"
"52.16.245.97","*.ethos01-stage-irl1.ethos.adobe.net","Adobe Inc.","US","San Jose","California","*.ethos01-stage-irl1.ethos.adobe.net","","false"
"52.16.245.101","tulka.com","","","","","tulka.com|*.tulka.com","","false"
"52.16.245.107","SDI-13295960150","Agenzia delle Entrate","IT","","","","","false"
"52.16.245.114","*.mc.axwaycloud.com","","","","","*.mc.axwaycloud.com","","false"
"52.16.245.115","portal.dev.adop.accenture.com","Accenture LLP","US","CHICAGO","ILLINOIS","portal.dev.adop.accenture.com","","false"
